"Supermarket","demand"
"Four Square BKs Torbay",2
"Four Square Botany Junction",2
"Four Square Cockle Bay",2
"Four Square Ellerslie",2
"Four Square Everglade",2
"Four Square Fair Price Henderson",2
"Four Square Glen Eden",2
"Four Square Great Eastern",2
"Four Square Hobsonville",2
"Four Square Lancaster",2
"Four Square Pakuranga Heights",2
"Fresh Collective Alberton",2
"New World Albany",6
"New World Birkenhead",6
"New World Botany",6
"New World Browns Bay",6
"New World Devonport",6
"New World Eastridge",6
"New World Green Bay",6
"New World Howick",6
"New World Long Bay",6
"New World Metro Queen St",6
"New World Milford",6
"New World Mt Roskill",6
"New World New Lynn",6
"New World Papakura",6
"New World Papatoetoe",6
"New World Remuera",6
"New World Southmall",6
"New World Stonefields",6
"New World Victoria Park",6
"Pak 'n Save Albany",8
"Pak 'n Save Botany",8
"Pak 'n Save Clendon",8
"Pak 'n Save Glen Innes",8
"Pak 'n Save Henderson",8
"Pak 'n Save Lincoln Road",8
"Pak 'n Save Mangere",8
"Pak 'n Save Manukau",8
"Pak 'n Save Mt Albert",8
"Pak 'n Save Ormiston",8
"Pak 'n Save Papakura",8
"Pak 'n Save Royal Oak",8
"Pak 'n Save Sylvia Park",8
"Pak 'n Save Wairau Road",8
"Pak 'n Save Westgate",8
