"Supermarket","sum","demand","error","fraction"
"Four Square BKs Torbay",24.83812963782,1,2,1
"Four Square Botany Junction",24.83812963782,1,2,1
"Four Square Cockle Bay",24.83812963782,1,4,3
"Four Square Ellerslie",24.83812963782,1,2,1
"Four Square Everglade",24.83812963782,1,1.33333333333333,0.333333333333333
"Four Square Fair Price Henderson",24.83812963782,1,4,3
"Four Square Glen Eden",24.83812963782,1,4,3
"Four Square Great Eastern",24.83812963782,1,4,3
"Four Square Hobsonville",24.83812963782,1,2,1
"Four Square Lancaster",24.83812963782,1,4,3
"Four Square Pakuranga Heights",24.83812963782,1,2,1
"Fresh Collective Alberton",24.83812963782,1,1.33333333333333,0.333333333333333
"New World Albany",24.83812963782,2,1,0
"New World Birkenhead",24.83812963782,2,1,0
"New World Botany",24.83812963782,2,1,0
"New World Browns Bay",24.83812963782,2,1.33333333333333,0.333333333333333
"New World Devonport",24.83812963782,2,1,0
"New World Eastridge",24.83812963782,2,0.888888888888889,0.111111111111111
"New World Green Bay",24.83812963782,2,1.33333333333333,0.333333333333333
"New World Howick",24.83812963782,2,1.14285714285714,0.142857142857143
"New World Long Bay",24.83812963782,2,0.8,0.2
"New World Metro Queen St",24.83812963782,2,1,0
"New World Milford",24.83812963782,2,0.888888888888889,0.111111111111111
"New World Mt Roskill",24.83812963782,2,0.8,0.2
"New World New Lynn",24.83812963782,2,1,0
"New World Papakura",24.83812963782,2,1.33333333333333,0.333333333333333
"New World Papatoetoe",24.83812963782,2,1,0
"New World Remuera",24.83812963782,2,1.14285714285714,0.142857142857143
"New World Southmall",24.83812963782,2,1,0
"New World Stonefields",24.83812963782,2,1.14285714285714,0.142857142857143
"New World Victoria Park",24.83812963782,2,1.14285714285714,0.142857142857143
"Pak 'n Save Albany",24.83812963782,5,1.33333333333333,0.333333333333333
"Pak 'n Save Botany",24.83812963782,5,1.25,0.25
"Pak 'n Save Clendon",24.83812963782,5,1.05263157894737,0.0526315789473684
"Pak 'n Save Glen Innes",24.83812963782,5,1.11111111111111,0.111111111111111
"Pak 'n Save Henderson",24.83812963782,5,1.11111111111111,0.111111111111111
"Pak 'n Save Lincoln Road",24.83812963782,5,1.17647058823529,0.176470588235294
"Pak 'n Save Mangere",24.83812963782,5,1.25,0.25
"Pak 'n Save Manukau",24.83812963782,5,1.05263157894737,0.0526315789473684
"Pak 'n Save Mt Albert",24.83812963782,5,1,0
"Pak 'n Save Ormiston",24.83812963782,5,1,0
"Pak 'n Save Papakura",24.83812963782,5,1.17647058823529,0.176470588235294
"Pak 'n Save Royal Oak",24.83812963782,5,1,0
"Pak 'n Save Sylvia Park",24.83812963782,5,1.17647058823529,0.176470588235294
"Pak 'n Save Wairau Road",24.83812963782,5,1.17647058823529,0.176470588235294
"Pak 'n Save Westgate",24.83812963782,5,1.11111111111111,0.111111111111111
