"Supermarket","sum","demand","error","fraction"
"Four Square BKs Torbay",3.97294702580974,2,0.869565217391304,0.130434782608696
"Four Square Botany Junction",3.97294702580974,2,1.14285714285714,0.142857142857143
"Four Square Cockle Bay",3.97294702580974,2,1.02564102564103,0.0256410256410255
"Four Square Ellerslie",3.97294702580974,2,1,0
"Four Square Everglade",3.97294702580974,2,0.975609756097561,0.024390243902439
"Four Square Fair Price Henderson",3.97294702580974,2,0.975609756097561,0.024390243902439
"Four Square Glen Eden",3.97294702580974,2,0.869565217391304,0.130434782608696
"Four Square Great Eastern",3.97294702580974,2,1.21212121212121,0.212121212121212
"Four Square Hobsonville",3.97294702580974,2,1.11111111111111,0.111111111111111
"Four Square Lancaster",3.97294702580974,2,1.11111111111111,0.111111111111111
"Four Square Pakuranga Heights",3.97294702580974,2,1,0
"Fresh Collective Alberton",3.97294702580974,2,1.05263157894737,0.0526315789473684
"New World Albany",3.97294702580974,6,1.03448275862069,0.0344827586206897
"New World Birkenhead",3.97294702580974,6,1.15384615384615,0.153846153846154
"New World Botany",3.97294702580974,6,1.02564102564103,0.0256410256410255
"New World Browns Bay",3.97294702580974,6,1.21212121212121,0.212121212121212
"New World Devonport",3.97294702580974,6,1.21212121212121,0.212121212121212
"New World Eastridge",3.97294702580974,6,1,0
"New World Green Bay",3.97294702580974,6,1.07142857142857,0.0714285714285714
"New World Howick",3.97294702580974,6,1.09090909090909,0.0909090909090908
"New World Long Bay",3.97294702580974,6,1.1214953271028,0.121495327102804
"New World Metro Queen St",3.97294702580974,6,1.14285714285714,0.142857142857143
"New World Milford",3.97294702580974,6,1.05263157894737,0.0526315789473684
"New World Mt Roskill",3.97294702580974,6,1.16504854368932,0.16504854368932
"New World New Lynn",3.97294702580974,6,1.13207547169811,0.132075471698113
"New World Papakura",3.97294702580974,6,0.983606557377049,0.0163934426229508
"New World Papatoetoe",3.97294702580974,6,1.07142857142857,0.0714285714285714
"New World Remuera",3.97294702580974,6,1.07142857142857,0.0714285714285714
"New World Southmall",3.97294702580974,6,1.17647058823529,0.176470588235294
"New World Stonefields",3.97294702580974,6,1.05263157894737,0.0526315789473684
"New World Victoria Park",3.97294702580974,6,1.18811881188119,0.188118811881188
"Pak 'n Save Albany",3.97294702580974,8,1.11888111888112,0.118881118881119
"Pak 'n Save Botany",3.97294702580974,8,0.987654320987654,0.0123456790123457
"Pak 'n Save Clendon",3.97294702580974,8,0.96969696969697,0.0303030303030303
"Pak 'n Save Glen Innes",3.97294702580974,8,1.13475177304965,0.134751773049645
"Pak 'n Save Henderson",3.97294702580974,8,1.03896103896104,0.0389610389610389
"Pak 'n Save Lincoln Road",3.97294702580974,8,1.08108108108108,0.0810810810810811
"Pak 'n Save Mangere",3.97294702580974,8,1.05960264900662,0.0596026490066226
"Pak 'n Save Manukau",3.97294702580974,8,1.02564102564103,0.0256410256410255
"Pak 'n Save Mt Albert",3.97294702580974,8,1.05960264900662,0.0596026490066226
"Pak 'n Save Ormiston",3.97294702580974,8,1.14285714285714,0.142857142857143
"Pak 'n Save Papakura",3.97294702580974,8,1.03896103896104,0.0389610389610389
"Pak 'n Save Royal Oak",3.97294702580974,8,1.17647058823529,0.176470588235294
"Pak 'n Save Sylvia Park",3.97294702580974,8,1.03225806451613,0.032258064516129
"Pak 'n Save Wairau Road",3.97294702580974,8,1.05263157894737,0.0526315789473684
"Pak 'n Save Westgate",3.97294702580974,8,0.987654320987654,0.0123456790123457
